date,open,high,low,close,volume,delta,macro,macro_slow
2023-10-20T04:00:00,29222.9,29405.4,29110.0,29228.5,65201.301,-74.825,9.075,4.371
2023-10-20T08:00:00,29228.6,30243.0,29214.4,29829.9,187724.326,14657.222,11.32,6.519
2023-10-20T12:00:00,29829.9,29900.0,29358.5,29538.7,114980.851,-8137.929,10.233,5.479
2023-10-20T16:00:00,29538.7,29578.6,29304.0,29549.8,37889.277,-137.389,10.274,5.519
2023-10-20T20:00:00,29549.8,29784.5,29493.9,29653.0,34232.357,3335.269,10.66,5.887
2023-10-21T00:00:00,29653.0,29678.6,29443.5,29591.0,29916.16,307.888,10.122,5.63
2023-10-21T04:00:00,29591.0,29725.8,29524.4,29681.0,23434.404,1910.566,10.457,5.952
2023-10-21T08:00:00,29681.1,29871.0,29614.1,29794.7,35531.903,2487.973,10.88,6.358
2023-10-21T12:00:00,29794.6,29973.9,29651.0,29916.5,45925.791,611.965,11.333,6.792
2023-10-21T16:00:00,29916.4,30374.6,29827.9,30128.7,95227.025,5003.053,12.123,7.55
2023-10-21T20:00:00,30128.7,30145.1,29828.5,29895.4,28160.673,-2215.343,11.255,6.717
2023-10-22T00:00:00,29895.4,30069.4,29830.0,29897.1,25140.596,889.65,10.923,6.69
2023-10-22T04:00:00,29897.0,30229.7,29606.6,29800.5,63566.224,-3099.184,10.564,6.345
2023-10-22T08:00:00,29800.4,29981.8,29761.8,29895.9,35445.364,206.734,10.918,6.686
2023-10-22T12:00:00,29895.9,29962.6,29760.6,29815.3,23241.376,-747.808,10.619,6.398
2023-10-22T16:00:00,29815.3,29936.9,29789.2,29830.0,17704.233,521.299,10.674,6.451
2023-10-22T20:00:00,29830.0,30060.2,29698.0,29981.5,33504.965,1048.713,11.236,6.991
2023-10-23T00:00:00,29981.4,30818.0,29869.4,30724.0,128693.194,12385.7,13.643,9.605
2023-10-23T04:00:00,30723.9,30990.0,30414.6,30508.0,109848.892,-1465.08,12.844,8.835
2023-10-23T08:00:00,30508.0,30777.0,30333.0,30644.4,67538.2,1447.08,13.348,9.321
2023-10-23T12:00:00,30644.4,30963.2,30378.5,30864.1,89661.663,240.969,14.161,10.105
